mixture_ID,source_1_path,source_1_gain,source_2_path,source_2_gain,source_3_path,source_3_gain,source_4_path,source_4_gain,noise_path,noise_gain
6880-216547-0029_5393-19218-0035_5808-48608-0015_1081-125237-0049,train-clean-100/6880/216547/6880-216547-0029.flac,0.4896886618390763,train-clean-100/5393/19218/5393-19218-0035.flac,0.3363629863954875,train-clean-100/5808/48608/5808-48608-0015.flac,0.5452525059737979,train-clean-100/1081/125237/1081-125237-0049.flac,0.3492208108658448,tr/024a010a_0.67061_01wo030g_-0.67061.wav,0.7021834247145413
460-172359-0030_8770-295465-0027_7302-86815-0058_2436-2481-0026,train-clean-100/460/172359/460-172359-0030.flac,0.6347265838646373,train-clean-100/8770/295465/8770-295465-0027.flac,0.6851602211054262,train-clean-100/7302/86815/7302-86815-0058.flac,0.571193313730802,train-clean-100/2436/2481/2436-2481-0026.flac,0.9577609330523356,tr/40jo030l_1.2867_01jc020p_-1.2867.wav,2.267585522054189
2910-131096-0011_3807-4923-0017_7780-274562-0096_3112-9554-0020,train-clean-100/2910/131096/2910-131096-0011.flac,0.5829448101141077,train-clean-100/3807/4923/3807-4923-0017.flac,0.560521835419875,train-clean-100/7780/274562/7780-274562-0096.flac,0.5840282389665716,train-clean-100/3112/9554/3112-9554-0020.flac,0.2425112607073919,tr/40mo030h_2.0283_016c0212_-2.0283.wav,1.2047734203284604
3857-182317-0032_1841-179183-0005_4018-107338-0027_6064-56165-0035,train-clean-100/3857/182317/3857-182317-0032.flac,0.8125191328713629,train-clean-100/1841/179183/1841-179183-0005.flac,0.40439956969161367,train-clean-100/4018/107338/4018-107338-0027.flac,0.4456530239620155,train-clean-100/6064/56165/6064-56165-0035.flac,0.9675149958090257,tr/01lo030c_1.64_01jc0213_-1.64.wav,1.759713178858938
2691-156745-0023_1926-147987-0023_196-122152-0005_2764-36616-0006,train-clean-100/2691/156745/2691-156745-0023.flac,0.2955662023898567,train-clean-100/1926/147987/1926-147987-0023.flac,0.6308297003138128,train-clean-100/196/122152/196-122152-0005.flac,0.5358237634210484,train-clean-100/2764/36616/2764-36616-0006.flac,0.7080997290401886,tr/01bc020c_0.61452_20uo010i_-0.61452.wav,3.1096308163572215
311-124404-0086_3983-5371-0004_625-132112-0052_298-126790-0023,train-clean-100/311/124404/311-124404-0086.flac,0.5950435362285651,train-clean-100/3983/5371/3983-5371-0004.flac,0.6488597999963448,train-clean-100/625/132112/625-132112-0052.flac,0.636170923316663,train-clean-100/298/126790/298-126790-0023.flac,1.539469011537648,tr/01uc020f_1.4971_20so010l_-1.4971.wav,1.1292738918638168
6000-55211-0030_5688-41232-0038_2843-152918-0071_3112-9555-0091,train-clean-100/6000/55211/6000-55211-0030.flac,0.6657274985635239,train-clean-100/5688/41232/5688-41232-0038.flac,0.8462431566226076,train-clean-100/2843/152918/2843-152918-0071.flac,1.5045784595805414,train-clean-100/3112/9555/3112-9555-0091.flac,0.3761343677149753,tr/403o030s_0.85918_01lo030c_-0.85918.wav,1.486660123749169
4859-29340-0020_8797-294123-0052_2007-149877-0010_2836-5354-0033,train-clean-100/4859/29340/4859-29340-0020.flac,0.7034610571428529,train-clean-100/8797/294123/8797-294123-0052.flac,0.6200226540680036,train-clean-100/2007/149877/2007-149877-0010.flac,0.43100583260711983,train-clean-100/2836/5354/2836-5354-0033.flac,0.6754758379714778,tr/40go0310_1.4016_407o0306_-1.4016.wav,0.35076469268096955
2691-156745-0039_446-123501-0029_7800-283478-0018_2436-2477-0000,train-clean-100/2691/156745/2691-156745-0039.flac,0.3388287726208192,train-clean-100/446/123501/446-123501-0029.flac,0.6783610530268437,train-clean-100/7800/283478/7800-283478-0018.flac,0.6581384002794242,train-clean-100/2436/2477/2436-2477-0000.flac,1.0772500047544626,tr/012c021e_0.74709_01cc0205_-0.74709.wav,1.9631035362753686
8609-283227-0062_7078-271888-0018_7780-274562-0093_163-122947-0047,train-clean-100/8609/283227/8609-283227-0062.flac,0.6895768069882836,train-clean-100/7078/271888/7078-271888-0018.flac,0.6337291037416382,train-clean-100/7780/274562/7780-274562-0093.flac,0.623346797103088,train-clean-100/163/122947/163-122947-0047.flac,1.7357484202876374,tr/40lo030n_0.23834_40na010j_-0.23834.wav,1.9193456103247526
